id,name,room_type_category,rate,qtd_rate,latitude,longitude,daily_price,total_price
1166023154391093516,M14 Apto Lindo e Moderno ao Lado do Metrô Brás,entire_home,5.0,7,-23.5493206,-46.6173785,R$109 por noite,Total de R$781
37563867,"Mirante do Vale, Centro Histórico / 25 de março",entire_home,4.78,363,-23.54275,-46.63638,R$115 por noite,Total de R$769
1008950726740093698,1518_2 min do shopping Frei Caneca,entire_home,4.88,42,-23.555895788523422,-46.651370376348495,R$153 por noite,Total de R$1.010
872449612134674505,Studio Funcional para 2 pessoas próximo à PUC,entire_home,4.85,580,-23.537829997307803,-46.67494833822685,"R$158 por noite, originalmente R$179",Total de R$1.066
649132158169929184,Loft Mirante 1826  - Sampa Sky,entire_home,4.94,86,-23.5421391,-46.6354864,R$130 por noite,Total de R$850
50593134,Apartamento encantador com jardim,private_room,5.0,25,-23.581495,-46.635593,"R$90 por noite, originalmente R$110",Total de R$641
31081900,Studio moderno Arouche (1414),entire_home,4.78,221,-23.54139,-46.64559,"R$138 por noite, originalmente R$157",Total de R$949
1178977276262296080,Studio no 8º andar com piscina na cobertura,entire_home,5.0,9,-23.5411402,-46.6458205,"R$176 por noite, originalmente R$233",Total de R$1.201
565065383459230023,Apê aconchegante Arouche (1310),entire_home,4.89,89,-23.54247,-46.64551,"R$135 por noite, originalmente R$151",Total de R$929
883930558528396784,Studio espaçoso com conforto e estilo @Copan c/ Ar,entire_home,4.87,103,-23.5466038,-46.6448943,R$244 por noite,Total de R$1.591
17209584,A melhor localização da cidade,private_room,4.66,83,-23.55676,-46.66475,R$99 por noite,Total de R$696
895930923894894408,Acolhedor apto próximo da Av Paulista com garagem,entire_home,4.88,106,-23.55611,-46.65265,"R$190 por noite, originalmente R$221",Total de R$1.209
1189255684805002016,"Ap novo, proximo ao metro, predio com piscina",entire_home,4.68,22,-23.57623,-46.64012,R$206 por noite,Total de R$1.405
1095727174889787516,"Z09 Estreante! Chic 4 pessoas, Garagem, Paulista",entire_home,4.9,20,-23.5593152,-46.6440788,R$163 por noite,Total de R$1.104
1203179724780768504,Apartamento na Bela Vista SP,entire_home,,,-23.5558959,-46.6513704,R$150 por noite,Total de R$1.060
1076294873148926038,I1116 | Apartamento Bem Localizado em Moema | CGH,entire_home,4.97,32,-23.611571884670763,-46.666092926971345,"R$204 por noite, originalmente R$265",Total de R$1.352
1136355649668572186,Apto 1 quarto reformado próximo ao metrô,entire_home,4.7,54,-23.552622588937705,-46.6537712395509,"R$175 por noite, originalmente R$198",Total de R$1.218
47485880,"SUPERHOSt_5* negócios,estudo,consulta médica,lazer",entire_home,4.7,112,-23.60146,-46.67225,R$173 por noite,Total de R$1.199
1123429795774566062,Studio à 3 min. do metro J. Dias,entire_home,4.94,17,-23.636756022268408,-46.71765714883804,R$179 por noite,Total de R$1.164
1177649458162017242,"SPA, Academia e Garagem a 10 min. a pé do Aero CGH",entire_home,4.8,5,-23.623834,-46.6664807,"R$203 por noite, originalmente R$275",Total de R$1.380
870216665440334539,BVM_77A - Studio Completo próx Metrô Vila Madalena,entire_home,4.83,64,-23.54658529120301,-46.69221141366891,"R$203 por noite, originalmente R$283",Total de R$1.367
884684164272571917,Estúdio a Bp R Arthur Prado,entire_home,4.92,25,-23.564525465305515,-46.64258442947901,R$139 por noite,Total de R$1.050
1219676294924703271,Campo Belo com acesso a tudo!,entire_home,,,-23.6206025522725,-46.67920083748283,R$234 por noite,Total de R$1.683
31060014,Fique no coração de SP com conforto e modernidade,entire_home,4.79,182,-23.54168,-46.64556,"R$143 por noite, originalmente R$162",Total de R$975
1199445369771214225,Modern no Brooklin,entire_home,5.0,4,-23.6365965,-46.7176261,R$213 por noite,Total de R$1.478
958653432875283573,"Zainalofts7Moema ao lado metro, Ibira, CASV 203ID",entire_home,4.92,53,-23.599503192235765,-46.6621561947581,R$229 por noite,Total de R$1.532
1206570483380814126,Studio em frente ao metrô Luz,entire_home,,,-23.5369451,-46.63283819999999,R$134 por noite,Total de R$936
53456626,Apto aconchegante familiar Bela Vista - São Paulo,entire_home,4.73,154,-23.55171,-46.64511,R$130 por noite,Total de R$862
675111148785470506,Apê encantador Arouche (1307),entire_home,4.88,82,-23.5417054,-46.644948,"R$145 por noite, originalmente R$164",Total de R$990
48046031,Suíte particular na V. Clementino próximo ao H. Sp,entire_home,4.69,65,-23.59549,-46.64607,R$107 por noite,Total de R$816
1081200804822850596,BA102 Studio aconchegante em Moema,entire_home,4.79,14,-23.60606060742732,-46.66005367993954,R$162 por noite,Total de R$1.128
920882209554845140,Studio completo com estacionamento pago no prédio,entire_home,4.51,61,-23.561159866089582,-46.67173680845948,R$227 por noite,Total de R$1.480
1044055521802105119,Studio novo em SP a 100 metros estação do Metro,entire_home,4.5,12,-23.538,-46.63348,R$128 por noite,Total de R$900
982209434946021193,"Loft santa Efigênia, metrô São Bento e aconchego.",entire_home,4.79,19,-23.541723372209315,-46.63497604429722,R$101 por noite,Total de R$734
943623024855003875,Apto Bela Vista Região Paulista,entire_home,4.89,18,-23.5558959,-46.6513704,R$173 por noite,Total de R$1.198
664499627203532210,"Estúdio como piscina aquecida, vago e ar-condicionado",entire_home,4.7,81,-23.5662563,-46.6312868,R$167 por noite,Total de R$1.149
36583131,Suíte Boho linda em vilinha tranquila no Paraíso.,private_room,4.97,115,-23.58004,-46.64258,R$137 por noite,Total de R$822
752751155366770332,"Lindo studio todo equipado, sem vaga de garagem.",entire_home,4.86,44,-23.625271,-46.689549,R$184 por noite,Total de R$1.284
631118586728309303,Quarto Charmoso no Baixo Pinheiros,private_room,4.95,42,-23.563728,-46.696697,R$90 por noite,Total de R$632
15825017,O Pequeno Notável / Small and Smart,entire_home,4.91,81,-23.63404,-46.64573,R$115 por noite,Total de R$742
